symptom,aliases,question_type,response
fever,fevr|fvr|temperature|bukhar,symptoms,"Common symptoms associated with fever can include increased body temperature, chills, sweating, headache, body aches, weakness, and tiredness. The cause of fever can vary, so symptoms alone cannot confirm a specific disease."
fever,fevr|fvr|temperature|bukhar,assistance,"If you have a fever, rest, drink enough fluids, and monitor your temperature. Seek medical advice if the fever is severe, persistent, worsening, or accompanied by concerning symptoms."
headache,head pain|head ache|head is paining|hedache,symptoms,"Headache may be associated with stress, dehydration, lack of sleep, infections, migraine, or other conditions. The pattern and severity of the headache are important when assessing the cause."
headache,head pain|head ache|head is paining|hedache,assistance,"For a mild headache, rest, stay hydrated, and avoid known triggers. If the headache is sudden and extremely severe, follows a significant injury, or occurs with confusion, weakness, vision problems, or difficulty speaking, seek urgent medical care."
cough,caugh|coff|khokla,symptoms,"Cough can occur with common respiratory infections, allergies, asthma, or irritation of the airways. Other symptoms such as fever, breathing difficulty, or chest pain can provide additional context."
cough,caugh|coff|khokla,assistance,"Stay hydrated and rest if you have a mild cough. Seek medical attention if the cough is severe, lasts for a prolonged period, produces significant blood, or is accompanied by difficulty breathing or severe chest pain."
cold,sardi|running nose|runny nose,symptoms,"Common cold symptoms can include a runny or blocked nose, sneezing, sore throat, cough, mild tiredness, and sometimes a low-grade fever."
cold,sardi|running nose|runny nose,assistance,"For common cold symptoms, rest, drink fluids, and monitor your symptoms. Seek medical advice if symptoms become severe, persist unusually long, or breathing difficulty develops."
body_pain,body ache|bodypain,symptoms,"General body aches can occur with infections, physical exertion, poor sleep, dehydration, or other conditions. The presence of fever or other symptoms can provide additional context."
body_pain,body ache|bodypain,assistance,"Rest and maintain adequate hydration for mild body aches. If body pain is severe, persistent, associated with significant weakness, injury, or other concerning symptoms, consult a healthcare professional."
sore_throat,sore throat|throat pain|throat ache,symptoms,"Sore throat may occur with viral infections, bacterial infections, allergies, or irritation. It can be associated with cough, fever, congestion, or difficulty swallowing."
sore_throat,sore throat|throat pain|throat ache,assistance,"Drink fluids and rest your voice for mild throat discomfort. Seek medical advice if swallowing or breathing becomes difficult, symptoms are severe, or the condition is worsening."
stomach_pain,stomach ache|stomachache|stomach pain,symptoms,"Stomach pain can have many causes, including indigestion, infections, food-related problems, or other gastrointestinal conditions. The location, severity, duration, and associated symptoms are important."
